"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"103.153.63.10","3125","http","anonymous","2024-11-25 11:50:25","true","true","true","true","true","","ZZ","0.172","18.000","14.179","10.235"
"103.156.14.18","8080","http","anonymous","2024-11-25 11:50:24","true","true","true","true","true","true","ZZ","1.199","47.000","5.372","11.223"
"103.164.190.221","5430","socks4","high anonymity","2024-11-25 11:50:20","true","true","true","true","true","true","ZZ","3.766","42.000","4.197","15.106"
"103.169.186.165","3125","http","anonymous","2024-11-25 11:50:28","true","true","true","true","true","true","ZZ","0.189","29.000","9.032","16.297"
"117.54.114.97","80","http","anonymous","2024-11-25 11:50:23","true","true","true","true","true","","ID","7.379","27.000","7.916","29.279"
"118.70.128.155","5678","socks4","high anonymity","2024-11-25 11:50:12","true","true","true","true","true","true","VN","1.709","82.000","2.126","58.580"
"124.41.240.203","37704","socks4","high anonymity","2024-11-25 11:50:21","true","true","true","true","true","","NP","3.744","42.000","4.096","30.453"
"14.177.236.212","55443","http","high anonymity","2024-11-25 11:50:22","true","true","true","true","","","VN","7.261","14.000","11.937","10.431"
"141.193.213.0","80","http","anonymous","2024-11-25 11:50:06","true","true","true","true","true","","US","0.021","4446.000","0.048","99.993"
"141.193.213.1","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","US","0.155","1161.000","0.181","99.993"
"141.193.213.10","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","US","0.005","7777.000","0.028","99.991"
"141.193.213.100","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","US","0.083","1980.000","0.105","99.992"
"141.193.213.101","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","US","0.087","1882.000","0.111","99.993"
"141.193.213.102","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","US","0.038","3028.000","0.070","99.993"
"141.193.213.103","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","US","0.391","514.000","0.407","99.992"
"141.193.213.104","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","US","0.183","972.000","0.216","99.990"
"141.193.213.105","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","US","0.110","1693.000","0.125","99.996"
"141.193.213.106","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","US","0.059","2447.000","0.085","99.993"
